Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
multi-agent?,,1,1,"(20, 50, 30)",9960.0,9922.0,12826.0,1.2877510040160642,15.0,190.0,0.7684210526315789
multi-agent?,,1,1,"(20, 60, 20)",10068.0,10011.0,13498.0,1.3406833531982518,26.0,198.0,1.0404040404040404
multi-agent?,,1,1,"(20, 80, 0)",10002.0,9948.0,13565.0,1.3562287542491502,22.0,212.0,1.4858490566037736
multi-agent?,,1,1,"(25, 25, 50)",9968.0,9905.0,12228.0,1.2267255216693418,26.0,209.0,0.5311004784688995
multi-agent?,,1,1,"(25, 50, 25)",9953.0,9896.0,12600.0,1.2659499648347232,27.0,188.0,0.9840425531914894
multi-agent?,,1,1,"(30, 10, 60)",9996.0,9941.0,10645.0,1.0649259703881553,24.0,208.0,0.25
multi-agent?,,1,1,"(30, 20, 50)",10048.0,10001.0,11200.0,1.1146496815286624,19.0,234.0,0.41025641025641024
multi-agent?,,1,1,"(30, 30, 40)",9871.0,9795.0,11111.0,1.125620504508155,34.0,195.0,0.6307692307692307
multi-agent?,,1,1,"(30, 40, 30)",9945.0,9886.0,13050.0,1.3122171945701357,26.0,195.0,0.9076923076923077
multi-agent?,,1,1,"(30, 50, 20)",9904.0,9838.0,12563.0,1.2684773828756057,29.0,222.0,0.9279279279279279
multi-agent?,,1,1,"(30, 60, 10)",10017.0,9952.0,13497.0,1.3474094040131777,29.0,207.0,1.0531400966183575
multi-agent?,,1,1,"(33, 33, 34)",9970.0,9908.0,12013.0,1.2049147442326982,27.0,230.0,0.7869565217391304
multi-agent?,,1,1,"(33, 34, 33)",9983.0,9922.0,12056.0,1.2076530101171992,26.0,200.0,0.675
multi-agent?,,1,1,"(34, 33, 33)",9969.0,9917.0,10822.0,1.0855652522820745,20.0,216.0,0.5555555555555556
multi-agent?,,1,1,"(40, 0, 60)",9965.0,9931.0,10984.0,1.1022579026593076,14.0,192.0,0.3020833333333333
multi-agent?,,1,1,"(40, 10, 50)",9982.0,9931.0,10303.0,1.0321578841915449,22.0,177.0,0.3898305084745763
multi-agent?,,1,1,"(40, 20, 40)",10109.0,10026.0,10980.0,1.0861608467702049,37.0,211.0,0.5402843601895735
multi-agent?,,1,1,"(40, 30, 30)",9974.0,9919.0,11607.0,1.1637256867856427,24.0,190.0,0.7368421052631579
multi-agent?,,1,1,"(40, 40, 20)",9945.0,9884.0,11963.0,1.2029160382101558,26.0,208.0,0.8125
multi-agent?,,1,1,"(40, 50, 10)",9854.0,9787.0,11565.0,1.1736350720519586,29.0,212.0,1.0235849056603774
multi-agent?,,1,1,"(40, 60, 0)",9944.0,9871.0,12611.0,1.2682019308125503,33.0,212.0,1.320754716981132
multi-agent?,,1,1,"(50, 0, 50)",9900.0,9875.0,10393.0,1.0497979797979797,7.0,196.0,0.4744897959183674
multi-agent?,,1,1,"(50, 10, 40)",9888.0,9835.0,10766.0,1.088794498381877,22.0,195.0,0.4205128205128205
multi-agent?,,1,1,"(50, 20, 30)",10036.0,9958.0,11257.0,1.1216620167397369,35.0,226.0,0.6946902654867256
multi-agent?,,1,1,"(50, 25, 25)",9965.0,9911.0,11109.0,1.1148018063221274,23.0,202.0,0.7029702970297029
multi-agent?,,1,1,"(50, 30, 20)",9924.0,9863.0,10840.0,1.0923014913341396,25.0,203.0,0.7931034482758621
multi-agent?,,1,1,"(50, 40, 10)",10052.0,10010.0,11715.0,1.1654397134898529,15.0,208.0,0.7211538461538461
multi-agent?,,1,1,"(50, 50, 0)",10073.0,10008.0,11844.0,1.1758165392633773,28.0,208.0,1.2692307692307692
multi-agent?,,1,1,"(60, 0, 40)",9937.0,9911.0,10410.0,1.047599879239207,8.0,208.0,0.41346153846153844
multi-agent?,,1,1,"(60, 10, 30)",9965.0,9904.0,10660.0,1.0697441043652784,26.0,202.0,0.5396039603960396
multi-agent?,,1,1,"(60, 20, 20)",9988.0,9927.0,10782.0,1.079495394473368,28.0,179.0,0.7597765363128491
multi-agent?,,1,1,"(60, 30, 10)",10050.0,9979.0,11275.0,1.1218905472636815,28.0,218.0,0.7935779816513762
multi-agent?,,1,1,"(60, 40, 0)",10118.0,10046.0,11416.0,1.1282862225736312,30.0,174.0,1.1149425287356323
